Date,open,high,low,close,volume,adjusted_close
1991-05-30,1.375,1.500,1.375,1.500,1100,2.094
1991-05-31,1.500,1.500,1.500,1.500,800,2.094
1991-06-03,1.375,1.375,1.375,1.375,500,1.919
1991-06-04,1.500,1.500,1.500,1.500,300,2.094
1991-06-05,1.500,1.500,1.500,1.500,0,2.094
1991-06-06,1.375,1.375,1.375,1.375,300,1.919
1991-06-07,1.375,1.375,1.375,1.375,0,1.919
1991-06-10,1.500,1.500,1.500,1.500,2000,2.094
1991-06-11,1.500,1.500,1.500,1.500,0,2.094
1991-06-12,1.375,1.375,1.375,1.375,1000,1.919
1991-06-13,1.375,1.375,1.375,1.375,0,1.919
1991-06-14,1.500,1.500,1.500,1.500,300,2.094
1991-06-17,1.500,1.500,1.500,1.500,200,2.094
1991-06-18,1.625,1.625,1.625,1.625,100,2.268
1991-06-19,1.500,1.500,1.500,1.500,1300,2.094
1991-06-20,1.500,1.500,1.500,1.500,0,2.094
1991-06-21,1.500,1.500,1.500,1.500,500,2.094
1991-06-24,1.500,1.500,1.500,1.500,8200,2.094
1991-06-25,1.500,1.500,1.500,1.500,0,2.094
1991-06-26,1.375,1.375,1.375,1.375,500,1.919
1991-06-27,1.375,1.375,1.375,1.375,4300,1.919
1991-06-28,1.375,1.375,1.375,1.375,500,1.919
1991-07-01,1.375,1.375,1.375,1.375,0,1.919
1991-07-02,1.375,1.375,1.375,1.375,0,1.919
1991-07-03,1.375,1.500,1.375,1.375,1000,1.919
1991-07-05,1.375,1.375,1.375,1.375,0,1.919
1991-07-08,1.375,1.375,1.375,1.375,3500,1.919
1991-07-09,1.250,1.250,1.250,1.250,7800,1.745
1991-07-10,1.250,1.250,1.250,1.250,1000,1.745
1991-07-11,1.250,1.375,1.250,1.250,5100,1.745
1991-07-12,1.250,1.375,1.250,1.375,1600,1.919
1991-07-15,1.250,1.250,1.250,1.250,1700,1.745
1991-07-16,1.250,1.250,1.250,1.250,100,1.745
1991-07-17,1.250,1.250,1.250,1.250,3500,1.745
1991-07-18,1.375,1.375,1.375,1.375,2500,1.919
1991-07-19,1.375,1.500,1.375,1.500,500,2.094
1991-07-22,1.500,1.500,1.375,1.500,1100,2.094
1991-07-23,1.375,1.375,1.375,1.375,700,1.919
1991-07-24,1.250,1.250,1.250,1.250,200,1.745
1991-07-25,1.375,1.375,1.375,1.375,200,1.919
1991-07-26,1.375,1.500,1.375,1.500,300,2.094
1991-07-29,1.375,1.375,1.375,1.375,300,1.919
1991-07-30,1.500,1.500,1.500,1.500,100,2.094
1991-07-31,1.500,1.500,1.500,1.500,100,2.094
1991-08-01,1.500,1.500,1.500,1.500,100,2.094
1991-08-02,1.500,1.500,1.500,1.500,100,2.094
1991-08-05,1.500,1.500,1.500,1.500,100,2.094
1991-08-06,1.500,1.500,1.500,1.500,100,2.094
1991-08-07,1.375,1.375,1.375,1.375,4200,1.919
1991-08-08,1.375,1.375,1.250,1.250,1800,1.745
1991-08-09,1.250,1.250,1.250,1.250,1000,1.745
1991-08-12,1.250,1.375,1.250,1.250,1200,1.745
1991-08-13,1.250,1.375,1.250,1.375,500,1.919
1991-08-14,1.375,1.375,1.250,1.375,500,1.919
1991-08-15,1.375,1.375,1.375,1.375,1500,1.919
1991-08-16,1.375,1.375,1.375,1.375,0,1.919
1991-08-19,1.375,1.375,1.250,1.250,2000,1.745
1991-08-20,1.250,1.375,1.250,1.375,200,1.919
1991-08-21,1.375,1.375,1.250,1.250,600,1.745
1991-08-22,1.250,1.250,1.250,1.250,100,1.745
1991-08-23,1.250,1.250,1.250,1.250,2200,1.745
1991-08-26,1.250,1.250,1.250,1.250,100,1.745
1991-08-27,1.375,1.375,1.375,1.375,100,1.919
1991-08-28,1.250,1.250,1.250,1.250,600,1.745
1991-08-29,1.375,1.375,1.375,1.375,2500,1.919
1991-08-30,1.375,1.375,1.375,1.375,2700,1.919
1991-09-03,1.375,1.375,1.250,1.250,1700,1.745
1991-09-04,1.250,1.375,1.250,1.250,1800,1.745
1991-09-05,1.250,1.375,1.250,1.375,900,1.919
1991-09-06,1.375,1.375,1.250,1.375,8500,1.919
1991-09-09,1.375,1.375,1.375,1.375,100,1.919
1991-09-10,1.375,1.375,1.375,1.375,1900,1.919
1991-09-11,1.375,1.375,1.375,1.375,1200,1.919
1991-09-12,1.375,1.375,1.375,1.375,2000,1.919
1991-09-13,1.375,1.375,1.375,1.375,100,1.919
1991-09-16,1.375,1.375,1.375,1.375,3200,1.919
1991-09-17,1.250,1.250,1.250,1.250,2100,1.745
