Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
10/12/2012,11.16,21.5917,3951676,82.9018,11.27,11.05,11.201,42.8327,42.9278,12399723520,-0.0216,0.791,11.16,0.0232,2.8034,0.3387,,,,,,,
10/15/2012,11.31,22.1064,6622104,85.3602,11.34,11.12,11.221,71.2648,45.2487,12566385664,-0.0217,0.7925,11.31,0.024,2.8196,0.3438,,,,,,,
10/16/2012,11.24,22.1828,5146166,84.2129,11.35,11.17,11.234,52.8614,44.3775,12488609792,-0.0212,0.7922,11.24,0.0244,2.8184,0.9085,,,,,,,
10/17/2012,11.305,22.116,5039487,85.2782,11.33,11.17,11.2415,65.3314,45.3876,12560830464,-0.0206,0.7924,11.305,0.0242,2.7884,,,,,,,,
10/18/2012,11.3,22.1211,6929006,85.1963,11.39,11.2,11.23,63.3963,45.3221,12555275264,-0.0203,0.7923,11.3,0.0222,2.7785,0,,,,,,,
10/19/2012,11.18,21.9029,6810751,83.2296,11.4,11.09,11.218,30.681,43.7545,12421945344,-0.0209,0.7928,11.18,0.019,2.7635,0.0213,,,,,,,
10/22/2012,11.14,22.6657,3978549,82.574,11.195,11.07,11.202,24.3883,43.2388,12377501696,-0.0202,0.7942,11.14,0.0197,2.7635,0.1123,,,,,,,
10/23/2012,11.08,22.7258,4639029,81.5907,11.165,10.99,11.2005,16.6874,42.4623,12310836224,-0.0215,0.7933,11.08,0.0185,2.7585,0,,,,,,,
10/24/2012,11.08,22.7258,5029740,81.5907,11.24,11.025,11.1995,16.6874,42.4623,12310836224,-0.021,0.7932,11.08,0.0113,2.6912,,,,,,,,
10/25/2012,11.06,22.7472,3733459,81.2629,11.21,11.02,11.1855,13.4922,42.192,12288614400,-0.0217,0.7932,11.06,0.0111,2.7149,0.1195,,,,,,,
10/26/2012,10.79,23.0429,7955022,76.8378,11.06,10.73,11.1485,2.7663,38.7472,11988621312,-0.0258,0.7934,10.79,0.014,2.8009,,,,,,,,
10/31/2012,10.885,23.7807,5422457,78.3948,10.92,10.75,11.106,31.5047,40.515,12094174208,-0.0261,0.7936,10.885,0.0137,2.7834,,,,,,,,
11/1/2012,11.23,23.9559,7601337,84.049,11.275,10.95,11.105,73.7569,46.3335,12477499392,-0.0214,0.7961,11.23,0.0263,2.8059,,,,,,,,
11/2/2012,11.1596,24.0337,7523850,82.8957,11.28,11.025,11.0905,62.0459,45.3965,12399306752,-0.0218,0.7959,11.1596,0.0091,2.8283,,,,,,,,
11/5/2012,11.25,24.617,4464474,84.3768,11.27,11.05,11.0855,70.9354,46.8251,12499721216,-0.0139,0.7967,11.25,0.0093,2.776,,,,,,,,
11/6/2012,11.34,24.5166,5684633,85.8518,11.36,11.19,11.1015,78.4685,48.2207,12599718912,-0.024,0.7982,11.34,0.0089,2.7435,,,,,,,,
11/7/2012,11.13,24.5956,6834992,82.4101,11.27,11.05,11.1005,41.1444,45.3478,12384406528,-0.0244,0.7986,11.13,-0.0012,2.6587,-0.6973,,,,,,,
11/8/2012,11,22.9251,19083388,80.2795,11.5,10.89,11.0925,28.5391,43.6812,12239754240,-0.025,0.7989,11,0.003,2.6862,,,,,,,,
11/9/2012,10.66,23.3035,13456114,74.7073,11.11,10.66,11.0505,12.9612,39.7307,11861434368,-0.0306,0.7982,10.66,-0.0001,2.6738,,,,,,,,
11/12/2012,10.77,24.1987,12516696,76.5101,11.05,10.73,11.0215,31.1889,41.5014,11983832064,-0.0257,0.7958,10.77,0.0006,2.665,,,,,,,,
11/13/2012,10.7202,24.2569,15463831,75.6937,10.77,10.56,11.0145,27.3048,40.938,11928406016,-0.0275,0.796,10.7202,-0.0031,2.6338,0.7221,,,,,,,
11/14/2012,10.685,23.0587,14710997,75.117,10.8499,10.64,10.9945,24.1217,40.5358,11889252352,-0.0262,0.7951,10.685,0.0081,2.7563,0.2301,,,,,,,
11/15/2012,10.56,23.2012,10913239,73.0684,10.77,10.45,10.9275,14.8791,39.1235,11750164480,-0.0282,0.7953,10.56,0.005,2.8034,,,,,,,,
11/16/2012,11.051,23.912,30202696,81.1154,11.14,10.52,10.9166,73.8702,46.6735,12296502272,-0.0204,0.7976,11.051,0.0011,2.8034,,,,,,,,
11/19/2012,11.2399,24.5252,11940358,84.2109,11.25,10.92,10.9156,81.3343,49.1815,12506664960,-0.0208,0.7987,11.2399,0.0037,2.8308,,,,,,,,
11/20/2012,11.24,24.5251,10539145,84.2129,11.33,11.17,10.9056,81.3396,49.1831,12506803200,-0.023,0.7989,11.24,0.0031,2.8034,0.15,,,,,,,
11/21/2012,11.35,24.4258,5768756,86.0157,11.37,11.2,10.9276,86.421,50.6303,12629200896,-0.0214,0.799,11.35,0.0049,2.8283,,,,,,,,
11/23/2012,11.24,24.5475,4286367,84.2129,11.47,11.23,10.9516,61.3582,49.1814,12506803200,-0.0235,0.7958,11.24,0.0059,2.8259,,,,,,,,
11/26/2012,11.34,24.7889,12401416,85.8518,11.39,11.2,11.0196,72.3091,50.5132,12618074112,-0.0234,0.7957,11.34,0.0084,2.8782,,,,,,,,
11/27/2012,11.33,24.8,12312520,85.6879,11.445,11.31,11.0756,69.3606,50.3766,12606947328,-0.0227,0.7956,11.33,0.0057,2.8583,,,,,,,,
11/28/2012,11.54,24.5749,9910955,89.1296,11.54,11.24,11.1576,86.5877,53.1296,12840614912,-0.0201,0.7965,11.54,0.0044,2.857,,,,,,,,
11/29/2012,11.46,24.3362,17770388,87.8185,11.57,11.27,11.2351,65.5328,51.9928,12751598592,-0.022,0.7962,11.46,-0.0027,2.8209,-0.4238,,,,,,,
11/30/2012,11.455,24.3415,11664900,87.7366,11.54,11.41,11.3246,64.0722,51.921,12746035200,-0.023,0.7964,11.455,0.0006,2.8121,,,,,,,,
12/3/2012,11.31,25.5581,7998326,85.3602,11.5,11.2,11.3505,32.5314,49.855,12584692736,-0.0291,0.7955,11.31,-0.0011,2.8009,,,,,,,,
12/4/2012,11.275,25.5976,10678190,84.7865,11.37,11.16,11.354,27.6103,49.3645,12545747968,-0.0272,0.7953,11.275,0.0017,2.8333,,,,,,,,
