40875,26.1,27.5,25.89,27.39,40200,25.02,62412020,0.02,40121,2562,1.07,0.04
40876,26.35,27.25,24.95,25.53,9700,23.81,54566540,0.02,9633,2562,0.99,0.04
40877,26.42,27,25.1,26.49,9500,24.71,58615820,0.02,9426,2562,1.03,0.04
40878,26.86,27.42,26.6,27.42,3800,25.58,62538560,0.02,3750,2562,1.07,0.04
40879,27.42,28,26.95,28,4100,26.12,64985000,0.02,4090,2562,1.09,0.04
40882,28,28.88,27.41,28.03,24800,26.15,65111540,0.02,24781,2562,1.09,0.04
40883,27.86,28.62,27.42,27.84,12500,25.97,64310120,0.02,12405,2562,1.08,0.04
40884,27.69,28.21,26.67,27.7,8300,25.84,63719600,0.02,8224,2562,1.08,0.04
40885,27.65,27.78,26.52,26.7,2500,24.91,59480510,0.02,2468,2562,1.04,0.04
40886,26.55,26.91,25.2,26.4,1900,24.63,58236200,0.02,1845,4660,1.03,0.04
40889,26.11,27.31,26.11,27.3,1300,25.47,62032400,0.02,1231,4660,1.06,0.04
40890,27.96,27.99,26.79,27.86,15800,25.99,64394480,0.02,15794,4660,1.08,0.04
40891,27.77,28.42,27.1,27.1,3100,25.28,61188800,0.02,3074,4660,1.05,0.04
40892,27.14,27.35,26.55,26.71,5900,24.92,59543780,0.02,5900,4660,1.04,0.04
40893,27.18,28.35,26.4,26.4,9800,24.63,58236200,0.02,9721,4660,1.03,0.04
40896,26.4,27.13,26.4,26.51,2500,24.73,58700180,0.02,2476,4660,1.03,0.04
40897,26.55,28.09,26.55,27,2900,25.19,60767000,0.02,2826,4660,1.05,0.04
40898,27.2,28,27,27.61,4900,25.75,63339980,0.02,4840,4660,1.07,0.04
40899,27.55,27.55,27,27.1,5900,25.28,61192174,0.02,5843,4660,1.05,0.04
40900,27.29,27.97,27.02,27.71,1700,25.85,63761780,0.02,1665,4660,1.08,0.04
40904,27.53,28,27.53,27.8,5300,25.93,64141400,0.02,5282,1570,1.08,0.04
40905,27.96,27.96,27,27.26,3900,25.43,61863680,0.02,3885,1570,1.06,0.04
40906,27.5,28.1,27.27,28,1200,26.12,64985000,0.02,1200,1570,1.09,0.04
40907,28.34,29.5,27.68,29.11,8800,27.15,69671198,0.02,8771,1570,1.13,0.04
40911,29.5,29.92,29.2,29.51,13100,27.53,71354180,0.02,13033,1570,1.15,0.04
40912,29.59,31.3,29.59,31.3,9200,29.2,78904400,0.02,9138,1570,1.22,0.04
40913,31,31.95,30.55,31.34,9900,29.23,79073120,0.02,9843,1570,1.22,0.04
40914,31.55,33,31.55,32.89,9700,30.68,85611020,0.02,9676,1570,1.28,0.05
40917,33.23,36.65,32.51,36.58,12800,34.12,101175440,0.02,12800,1570,1.42,0.05
