40683.00,94.55,94.65,93.13,93.56,3486900.00,82.45,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding
40793.00,79.36,80.64,78.66,80.57,5213800.00,71.48,5216110.00,58655315520.00,10031137.00,2.00,3.30,0.03,0.01
40794.00,79.88,80.65,78.78,79.26,4722200.00,70.32,4723619.00,57725823360.00,10031137.00,1.97,3.25,0.03,0.01
40795.00,78.06,78.18,76.00,76.65,7423400.00,68.01,7423451.00,55873934400.00,10031137.00,1.90,3.14,0.03,0.01
40798.00,76.21,78.28,76.00,78.22,5848900.00,69.40,5848828.00,56987905920.00,10196257.00,1.94,3.20,0.03,0.01
40799.00,78.28,78.79,77.19,77.81,6469100.00,69.03,6469078.00,56696996160.00,10196257.00,1.93,3.19,0.03,0.01
40800.00,77.96,80.39,76.91,79.44,5402500.00,70.48,5402426.00,57853539840.00,10196257.00,1.97,3.25,0.03,0.01
40801.00,80.18,81.03,79.48,80.63,4222300.00,71.54,4222294.00,58697887680.00,10196257.00,2.00,3.30,0.03,0.01
40802.00,81.43,81.65,80.01,80.53,6027600.00,71.45,6027526.00,58626934080.00,10196257.00,2.00,3.30,0.03,0.01
40805.00,79.57,79.57,77.88,79.21,4552700.00,70.28,4552695.00,57690346560.00,10196257.00,1.97,3.24,0.03,0.01
40806.00,79.44,79.92,78.46,79.21,3914800.00,70.28,3914774.00,57690346560.00,10196257.00,1.97,3.24,0.03,0.01
40807.00,79.33,79.76,76.27,76.34,4957800.00,67.73,4958394.00,55653978240.00,10196257.00,1.90,3.13,0.03,0.01
40808.00,74.82,74.90,72.00,72.90,10108500.00,64.68,10108460.00,53213174400.00,10196257.00,1.81,2.98,0.03,0.01
40809.00,72.64,74.33,72.34,73.99,4583800.00,65.65,4583749.00,53986568640.00,10196257.00,1.84,3.03,0.03,0.01
40812.00,74.39,75.26,73.45,75.19,5033400.00,66.71,5033308.00,54838011840.00,11689097.00,1.87,3.08,0.03,0.02
40813.00,76.37,77.77,75.82,76.28,4875300.00,67.68,4875385.00,55611406080.00,11689097.00,1.89,3.12,0.03,0.02
40814.00,76.42,77.20,73.50,73.60,5932100.00,65.30,5932031.00,53709849600.00,11689097.00,1.83,3.01,0.03,0.02
40815.00,74.97,75.68,73.50,74.53,5633500.00,66.12,5633718.00,54369718080.00,11689097.00,1.85,3.05,0.03,0.02
40816.00,73.91,73.94,71.71,71.79,7184500.00,63.69,7185141.00,52425589440.00,11689097.00,1.78,2.94,0.03,0.02
40819.00,71.13,73.24,70.93,70.93,7619300.00,62.93,7619527.00,51815388480.00,11689097.00,1.76,2.90,0.03,0.02
40820.00,70.13,72.18,68.63,72.01,8700000.00,63.89,8689888.00,52581687360.00,11689097.00,1.79,2.95,0.03,0.02
40821.00,71.74,72.84,71.01,72.53,5467000.00,64.35,5468927.00,52950646080.00,11689097.00,1.80,2.97,0.03,0.02
40822.00,72.72,74.69,72.00,74.65,4835800.00,66.23,4835766.00,54454862400.00,11689097.00,1.85,3.06,0.03,0.02
40823.00,75.20,75.45,73.07,73.82,5291800.00,65.49,5291784.00,53865947520.00,11689097.00,1.83,3.02,0.03,0.02
40826.00,75.12,76.74,75.09,76.72,3855600.00,68.07,3855981.00,55923601920.00,11689097.00,1.91,3.14,0.03,0.02
40827.00,76.55,76.87,75.89,76.42,3320200.00,67.80,3320384.00,55710741120.00,11001357.00,1.90,3.13,0.03,0.02
40828.00,76.73,79.34,76.73,78.36,5663300.00,69.52,5663238.00,57087240960.00,11001357.00,1.95,3.21,0.03,0.02
40829.00,78.27,78.40,76.67,77.80,3726900.00,69.03,3726920.00,56689900800.00,11001357.00,1.93,3.19,0.03,0.02
40830.00,78.94,79.23,78.12,78.89,2840800.00,69.99,2840773.00,57463295040.00,11001357.00,1.96,3.23,0.03,0.02
40833.00,78.63,79.05,75.66,75.88,4359500.00,67.32,4359442.00,55327591680.00,11001357.00,1.88,3.11,0.03,0.02
40834.00,76.18,79.15,75.71,78.36,4167200.00,69.52,4167312.00,57087240960.00,11001357.00,1.95,3.21,0.03,0.02
40835.00,78.26,78.86,77.27,77.70,3865000.00,68.94,3864997.00,56618947200.00,11001357.00,1.93,3.18,0.03,0.02
40836.00,77.77,79.06,77.11,78.68,4087300.00,69.81,4087206.00,57314292480.00,11001357.00,1.95,3.22,0.03,0.02
40837.00,79.38,80.56,78.98,80.48,5125200.00,71.40,5125472.00,58591457280.00,11001357.00,2.00,3.30,0.03,0.02
40840.00,80.32,82.40,80.23,82.18,5428700.00,72.91,5428807.00,59797668480.00,11001357.00,2.04,3.36,0.03,0.02
40841.00,76.88,79.02,76.28,77.04,12651800.00,68.35,12651830.00,55959653440.00,11001357.00,1.87,3.10,0.03,0.02
40842.00,77.98,78.40,75.97,77.02,5788900.00,68.33,5788879.00,55276081900.00,11216720.00,1.85,3.10,0.03,0.02
40843.00,79.51,82.33,78.92,81.41,7413700.00,72.23,7414366.00,58352791450.00,11216720.00,1.95,3.28,0.03,0.02
40844.00,81.53,81.84,80.50,81.00,5252000.00,71.86,5252021.00,58065445000.00,11216720.00,1.94,3.26,0.03,0.02
40847.00,79.88,80.59,78.93,79.02,4022500.00,70.11,4022482.00,56677771900.00,11216720.00,1.89,3.18,0.03,0.02
40848.00,77.89,78.22,76.26,76.53,5772100.00,67.90,5773603.00,54932667850.00,11216720.00,1.83,3.08,0.03,0.02
40849.00,77.39,78.64,77.35,78.06,3559600.00,69.26,3559886.00,56004960700.00,11216720.00,1.87,3.14,0.03,0.02
40850.00,78.86,79.82,77.89,79.64,4337800.00,70.66,4338315.00,57556295800.00,11216720.00,1.91,3.29,0.03,0.02
40851.00,78.97,79.54,78.12,79.30,3771900.00,70.36,3771861.00,57318008500.00,11216720.00,1.90,3.28,0.03,0.02
40854.00,79.27,80.19,78.30,79.69,4311700.00,70.70,4311630.00,57591338050.00,11216720.00,1.91,3.29,0.03,0.02
40855.00,80.29,82.00,80.00,81.83,4230500.00,72.60,4230480.00,59091146350.00,11216720.00,1.96,3.38,0.03,0.02
40856.00,80.13,80.31,78.47,79.00,6393500.00,70.09,6393454.00,57107755000.00,9268420.00,1.89,3.26,0.03,0.01
40857.00,80.31,81.16,79.65,80.32,4646300.00,71.26,4646259.00,58032870400.00,9268420.00,1.93,3.32,0.03,0.01
40858.00,81.30,82.66,81.30,82.29,3645800.00,73.01,3645711.00,59413535050.00,9268420.00,1.97,3.40,0.03,0.01
40861.00,81.56,82.49,81.38,81.87,3168600.00,72.64,3168577.00,59119180150.00,9268420.00,1.96,3.38,0.03,0.01
40862.00,81.44,82.38,81.06,81.87,3602400.00,72.64,3602349.00,59119180150.00,9268420.00,1.96,3.38,0.03,0.01
40863.00,81.29,83.10,80.86,81.87,5097100.00,72.64,5097069.00,59119180150.00,9268420.00,1.96,3.38,0.03,0.01
40864.00,81.53,81.67,79.67,80.43,5077900.00,71.36,5077871.00,58109963350.00,9268420.00,1.93,3.32,0.03,0.01
40865.00,80.70,81.02,79.98,80.54,3928300.00,71.46,3928297.00,58187056300.00,9268420.00,1.93,3.33,0.03,0.01
40868.00,79.28,79.64,77.54,78.39,5438800.00,69.55,5439978.00,56680239550.00,9268420.00,1.88,3.24,0.03,0.01
40869.00,77.63,78.94,77.45,77.83,4170600.00,69.54,4171987.00,56287766350.00,9268420.00,1.87,3.21,0.03,0.01
40870.00,77.08,77.16,75.49,75.54,4149900.00,67.49,4149867.00,54682831300.00,9268420.00,1.81,3.12,0.03,0.01
40872.00,75.55,76.86,75.55,76.13,2094000.00,68.02,2093982.00,55096329850.00,9268420.00,1.83,3.14,0.03,0.01
40875.00,77.20,78.01,77.05,77.72,4923100.00,69.44,4923069.00,56210673400.00,9410749.00,1.86,3.21,0.03,0.01
40876.00,78.00,78.18,77.03,77.24,3853300.00,69.01,3854708.00,55874267800.00,9410749.00,1.85,3.19,0.03,0.01
40877.00,79.71,81.05,79.43,81.04,8721000.00,72.41,8720938.00,58537478800.00,9410749.00,1.94,3.35,0.03,0.01
40878.00,81.25,81.31,80.25,80.30,3867100.00,71.75,3867054.00,58018853500.00,9410749.00,1.93,3.32,0.03,0.01
40879.00,81.39,81.46,79.05,79.76,5578000.00,71.26,5577944.00,57640397200.00,9410749.00,1.91,3.29,0.03,0.01
40882.00,81.33,81.60,80.34,80.93,5910500.00,72.31,5910639.00,58460385850.00,9410749.00,1.94,3.34,0.03,0.01
40883.00,82.13,82.80,81.61,82.13,6011800.00,73.38,6012913.00,59301399850.00,9410749.00,1.97,3.39,0.03,0.01
40884.00,82.03,82.73,80.78,82.39,4306100.00,73.61,4306040.00,59483619550.00,9410749.00,1.98,3.40,0.03,0.01
40885.00,81.83,82.14,80.26,80.46,3980600.00,71.89,3982479.00,58130988700.00,9410749.00,1.93,3.32,0.03,0.01
40886.00,80.92,82.42,80.77,82.20,4075500.00,73.44,4075475.00,59350459000.00,9703487.00,1.97,3.40,0.03,0.01
40889.00,81.90,81.99,80.03,80.59,3338000.00,72.01,3337963.00,58222098550.00,9703487.00,1.93,3.33,0.03,0.01
40890.00,81.00,81.22,78.91,79.41,3975800.00,70.95,3978687.00,57395101450.00,9703487.00,1.90,3.28,0.03,0.01
40891.00,79.18,79.45,78.26,78.51,4203000.00,70.15,4202932.00,56764340950.00,9703487.00,1.88,3.24,0.03,0.01
40892.00,79.43,79.78,78.60,78.86,3247000.00,70.46,3246908.00,57009636700.00,9703487.00,1.89,3.26,0.03,0.01
40893.00,79.52,80.02,78.42,78.87,6492600.00,70.47,6492582.00,57016645150.00,9703487.00,1.89,3.26,0.03,0.01
40896.00,79.02,79.50,77.51,77.82,3485400.00,69.53,3485368.00,56280757900.00,9703487.00,1.87,3.21,0.03,0.01
40897.00,79.19,80.40,78.87,80.31,4660200.00,71.76,4660198.00,58025861950.00,9703487.00,1.93,3.32,0.03,0.01
40898.00,80.43,80.47,78.97,80.00,3611800.00,71.48,3611754.00,57808600000.00,9703487.00,1.92,3.30,0.03,0.01
40899.00,80.27,81.18,79.93,80.97,3164200.00,72.35,3164166.00,58488419650.00,9703487.00,1.94,3.34,0.03,0.01
40900.00,81.24,82.21,80.78,82.20,2042200.00,73.44,2042102.00,59350459000.00,9703487.00,1.97,3.40,0.03,0.01
40904.00,81.91,82.64,81.62,82.28,1722600.00,73.52,1722580.00,59406526600.00,8146748.00,1.97,3.40,0.03,0.01
40905.00,82.22,82.44,80.94,81.15,2613300.00,72.51,2613284.00,58614571750.00,8146748.00,1.95,3.35,0.03,0.01
40906.00,81.37,82.20,81.19,82.11,1935200.00,73.36,1935126.00,59287382950.00,8146748.00,1.97,3.39,0.03,0.01
40907.00,82.23,82.45,81.60,81.73,1706500.00,73.02,1706821.00,59021061850.00,8146748.00,1.96,3.38,0.03,0.01
40911.00,83.76,84.44,83.36,83.49,3380100.00,74.60,3380063.00,60254549050.00,8146748.00,2.00,3.45,0.03,0.01
40912.00,83.13,84.26,83.11,84.18,3007400.00,75.21,3007305.00,60738132100.00,8146748.00,2.02,3.48,0.03,0.01
40913.00,83.53,83.87,82.70,83.80,3116400.00,74.87,3116399.00,60471811000.00,8146748.00,2.01,3.46,0.03,0.01
40914.00,83.78,84.24,83.32,83.37,2839200.00,74.49,2839171.00,60170447650.00,8146748.00,2.00,3.44,0.03,0.01
40917.00,83.58,84.06,83.26,83.87,2796600.00,74.94,2796509.00,60520870150.00,8146748.00,2.01,3.46,0.03,0.01
40918.00,84.59,85.19,84.04,84.30,3438400.00,75.32,3440126.00,60822233500.00,8146748.00,2.02,3.48,0.03,0.01
40919.00,83.24,83.89,83.08,83.77,4465300.00,74.85,4465369.00,60450785650.00,6453427.00,2.01,3.46,0.03,0.01
40920.00,84.37,84.64,83.76,84.28,3649900.00,75.30,3650176.00,60808216600.00,6453427.00,2.02,3.48,0.03,0.01
40921.00,83.75,84.12,83.07,83.60,3092900.00,74.70,3093278.00,60331642000.00,6453427.00,2.00,3.45,0.03,0.01
