Date,Last Price,Bloomberg Issuer Default Risk Implied CDS Spread,Enterprise Value,Volume,Cumulative Total Return,High Price,Low Price,Moving Average 10 Day,RSI 3 Day,RSI 30 Day,Current Market Cap,Overridable Alpha,Overridable Adjusted Beta,Last Price,Price Earnings Ratio,Alpha for Beta Plus Minus,Price to Sales Ratio,News Sentiment - Daily Average,Twitter Sentiment Daily Average,Book Value per Share,EBITDA,Quick Ratio,Profit Margin,Return on Invested Capital,Total Debts to Total Capital
5/18/2011,131.84,112.8507,44645855232,6456636,1559.4084,133.71,131.33,136.611,39.8753,47.6984,45945782272,0.2548,1.264,131.84,71.6082,0.1265,32.4403,0.5493,,,,,,,
5/19/2011,135.88,112.4301,46053781504,7793865,1610.2581,136.25,132.14,136.18,67.2933,50.8599,47353708544,0.2569,1.2648,135.88,73.8207,0.1364,33.4426,0.0465,,,,,,,
5/20/2011,134.69,112.3104,45639069696,5854374,1595.28,136.33,133.85,135.523,56.0085,49.9401,46938996736,0.2558,1.2652,134.69,74.6417,0.1521,33.8145,,,,,,,,
5/23/2011,129.47,112.0005,43819917312,8098044,1529.5784,131.1342,128.71,134.208,26.6275,46.1523,45119844352,0.2537,1.27,129.47,72.8473,0.1514,33.0016,0.0401,,,,,,,
5/24/2011,129.26,111.6762,43746734080,5580380,1526.9352,131.56,129,132.91,25.8104,46.0071,45046661120,0.2531,1.2701,129.26,76.2142,0.1805,34.5269,0.3337,,,,,,,
5/25/2011,129.54,111.6559,43844313088,5627661,1530.4594,132.42,129.15,131.974,30.1001,46.2404,45144240128,0.2521,1.27,129.54,73.2678,0.1734,33.1921,0.198,,,,,,,
5/26/2011,129.95,111.256,43987197952,6194816,1535.6199,130.63,127.78,131.149,37.977,46.59,45287124992,0.2512,1.2698,129.95,69.7828,0.1554,31.6133,,,,,,,,
5/27/2011,133.93,109.0422,45374214144,6471046,1585.7142,134.75,130.02,131.414,76.5139,49.8642,46674141184,0.2466,1.2798,133.93,68.6722,0.1487,31.1102,0.0611,,,,,,,
5/31/2011,135.71,107.3814,45994536960,5507331,1608.1183,137.2,134.25,132.208,83.4234,51.247,47294464000,0.2377,1.2651,135.71,66.3306,0.1397,30.0494,0.5896,,,,,,,
6/1/2011,132.47,107.7186,44865409024,6868455,1567.3379,137.15,132.1515,132.274,46.2627,48.7169,46165336064,0.239,1.2636,132.47,67.7289,0.1381,30.6829,0.8741,,,,,,,
6/2/2011,138.49,107.5012,46963355648,8352262,1643.1089,138.67,132.76,132.939,76.0259,53.1616,48263282688,0.2545,1.2631,138.49,66.9378,0.1487,30.3245,0.2173,,,,,,,
6/3/2011,133.21,108.4256,45123293184,8892952,1576.652,139.09,132.5,132.672,43.9794,49.2859,46423224320,0.2382,1.2748,133.21,64.9556,0.1612,29.4265,,,,,,,,
6/6/2011,126.97,106.0479,42948677632,9971353,1498.1121,134.74,125.8983,131.9,25.1707,45.2526,44248604672,0.2229,1.2802,126.97,68.6054,0.1624,31.08,,,,,,,,
6/7/2011,124.82,106.2709,42199408640,16900188,1471.051,128.39,121.12,131.435,20.6143,43.97,43499335680,0.2194,1.2806,124.82,65.3943,0.1635,29.6252,0.4886,,,,,,,
6/8/2011,120.67,106.7529,40753147904,13080776,1418.8169,126.3299,119.88,130.576,13.5254,41.6149,42053074944,0.2133,1.2823,120.67,63.8866,0.1536,28.9422,,,,,,,,
6/9/2011,123.21,106.0573,41638330368,13718172,1450.7866,124.38,118.9,129.943,34.2753,43.53,42938257408,0.213,1.2826,123.21,64.678,0.1463,29.3007,-0.035,,,,,,,
6/10/2011,121.69,104.428,41108615168,8989060,1431.6552,124.72,121.0788,129.117,28.201,42.6637,42408542208,0.2207,1.2801,121.69,65.045,0.1363,29.467,,,,,,,,
6/13/2011,118.03,102.0091,39833116672,10566693,1385.5884,123.75,117.53,127.527,17.1948,40.6486,41133043712,0.2133,1.2932,118.03,70.1104,0.1366,31.7617,0.0776,,,,,,,
6/14/2011,124.82,102.3217,42199408640,10262522,1471.051,125.35,120.61,126.438,60.3054,45.5814,43499335680,0.2201,1.2985,124.82,68.51,0.133,31.0367,0.9296,,,,,,,
6/15/2011,118.84,102.9733,40115400704,11563917,1395.7836,123.81,118.32,125.075,35.7306,42.3729,41415327744,0.2146,1.3039,118.84,70.9416,0.154,32.1383,0.1602,,,,,,,
6/16/2011,116.24,103.5694,39209308160,13124191,1363.0585,121.33,114.14,122.85,28.2285,41.0725,40509235200,0.2083,1.3044,116.24,70.7303,0.1492,32.0426,0.3312,,,,,,,
6/17/2011,117.68,103.4002,39711145984,11404264,1381.1831,119.79,116.58,121.297,38.8883,42.0907,41011073024,0.2047,1.3051,117.68,73.248,0.1446,33.1832,0.2179,,,,,,,
6/20/2011,118.28,99.6378,39920242688,8119469,1388.7351,120.97,116.6,120.428,44.0793,42.5188,41220169728,0.2122,1.2978,118.28,74.7872,0.1446,33.8804,0.4427,,,,,,,
6/21/2011,127.71,100.4822,43206565888,11291675,1507.426,127.75,120.81,120.717,81.3754,48.6865,44506492928,0.2227,1.3067,127.71,75.4821,0.1439,34.1953,0.9323,,,,,,,
6/22/2011,124.87,100.789,42216833024,8932375,1471.6803,127.48,124.5,121.137,62.5343,47.1116,43516760064,0.2196,1.308,124.87,64.4596,0.1403,29.9042,0.9315,,32.0893,,3.5066,47.8117,54.4298,1.1426
6/23/2011,129.22,100.8937,43732795392,10402712,1526.4318,129.35,121.51,121.738,75.5439,49.6903,45032722432,0.2318,1.3068,129.22,65.9492,0.1485,30.5953,-0.1977,,,,,,,
6/24/2011,128.68,100.6139,43544604672,9914981,1519.635,131.44,127.75,122.437,70.956,49.3811,44844531712,0.229,1.3034,128.68,67.1301,0.1692,31.1431,,,,,,,,
