Pricing Date,3M Company (NYSE:MMM) - Share Pricing,3M Company (NYSE:MMM) - Day High Price,3M Company (NYSE:MMM) - Day Low Price,3M Company (NYSE:MMM) - Day Open Price,3M Company (NYSE:MMM) - Volume,3M Company (NYSE:MMM) - Total Enterprise Value,3M Company (NYSE:MMM) - Market Cap/Total Revenues,3M Company (NYSE:MMM) - P/BV,3M Company (NYSE:MMM) - Shares Sold Short,3M Company (NYSE:MMM) - Dividend Yield,3M Company (NYSE:MMM) - Short Interest as % of Shares Outstanding,3M Company (NYSE:MMM) - Latest Annualized Dividend Per Share
Feb-12-2007,74.59,74.89,74.40,74.55,2972479,56411136170,2.38957100,5.49299200,5337294,0.025740,0.00726792,1.92
Feb-13-2007,76.43,76.90,75.75,76.00,7193231,57762364090,2.44851700,5.62849400,5337294,0.025121,0.00726792,1.92
Feb-14-2007,76.84,76.92,76.28,76.43,3888558,58063452920,2.46165200,5.65868800,5337294,0.024986,0.00726792,1.92
Feb-15-2007,76.91,77.38,76.60,76.90,3627500,58114858330,2.46389400,5.66384300,5337294,0.024964,0.00726792,1.92
Feb-16-2007,76.84,77.43,76.41,76.91,3795000,58063452920,2.46165200,5.65868800,5337294,0.024986,0.00726792,1.92
Feb-20-2007,76.58,76.75,75.94,76.50,3962200,57872518540,2.45332200,5.63954100,5337294,0.025071,0.00726792,1.92
Feb-21-2007,76.23,76.58,75.90,76.10,2820400,57615491490,2.44211000,5.61376600,5337294,0.025186,0.00726792,1.92
Feb-22-2007,76.35,76.75,76.13,76.25,2795600,57703615050,2.44595400,5.62260300,5337294,0.025147,0.00726792,1.92
Feb-23-2007,76.21,76.57,75.95,76.49,1987400,57600804230,2.44146900,5.61229300,5608343,0.025193,0.00763702,1.92
Feb-26-2007,76.12,76.82,75.64,76.45,2593983,57843402320,2.43700200,5.61298300,5608343,0.025223,0.00764198,1.92
Feb-27-2007,74.50,76.18,73.52,76.13,5872300,56654507000,2.38513700,5.49352600,5608343,0.025771,0.00764198,1.92
Feb-28-2007,74.08,75.00,73.53,74.25,5290200,56346274880,2.37169100,5.46255600,5608343,0.025917,0.00764198,1.92
Mar-01-2007,73.66,74.01,73.02,74.00,4470986,56038042760,2.35824400,5.43158600,5608343,0.026065,0.00764198,1.92
